Eckman   		 Rayleigh   		 Upper Bound
1.0000e-07 		 1.689433e+10 		 1.000000e+00
1.0000e-07 		 1.768547e+10 		 1.048726e+00
1.0000e-07 		 1.851366e+10 		 1.174457e+00
1.0000e-07 		 1.938064e+10 		 1.319943e+00
1.0000e-07 		 2.028821e+10 		 1.489279e+00
1.0000e-07 		 2.123829e+10 		 1.687699e+00
1.0000e-07 		 2.223286e+10 		 1.922013e+00
1.0000e-07 		 2.327400e+10 		 2.201228e+00
1.0000e-07 		 2.436389e+10 		 2.537497e+00
1.0000e-07 		 2.550483e+10 		 2.947555e+00
1.0000e-07 		 2.669919e+10 		 3.454967e+00
1.0000e-07 		 2.794949e+10 		 4.093709e+00
1.0000e-07 		 2.925833e+10 		 4.914010e+00
1.0000e-07 		 3.062847e+10 		 5.992007e+00
1.0000e-07 		 3.206277e+10 		 7.445881e+00
1.0000e-07 		 3.356424e+10 		 9.462521e+00
1.0000e-07 		 3.513601e+10 		 1.237975e+01
1.0000e-07 		 3.678140e+10 		 1.693940e+01
1.0000e-07 		 3.850383e+10 		 2.383786e+01
1.0000e-07 		 4.030692e+10 		 3.408025e+01
1.0000e-07 		 4.219446e+10 		 4.871813e+01
1.0000e-07 		 4.417038e+10 		 6.861096e+01
1.0000e-07 		 4.623883e+10 		 9.433023e+01
1.0000e-07 		 4.840415e+10 		 1.262112e+02
1.0000e-07 		 5.067086e+10 		 1.644508e+02
1.0000e-07 		 5.304372e+10 		 2.091822e+02
1.0000e-07 		 5.552771e+10 		 2.605172e+02
1.0000e-07 		 5.812801e+10 		 3.185661e+02
1.0000e-07 		 6.085008e+10 		 3.834478e+02
1.0000e-07 		 6.369963e+10 		 4.552934e+02
1.0000e-07 		 6.668262e+10 		 5.342486e+02
1.0000e-07 		 6.980529e+10 		 6.204741e+02
1.0000e-07 		 7.307420e+10 		 7.141467e+02
1.0000e-07 		 7.649619e+10 		 8.154593e+02
1.0000e-07 		 8.007842e+10 		 9.246215e+02
1.0000e-07 		 8.382841e+10 		 1.041860e+03
1.0000e-07 		 8.775401e+10 		 1.167417e+03
1.0000e-07 		 9.186344e+10 		 1.301556e+03
1.0000e-07 		 9.616531e+10 		 1.444555e+03
1.0000e-07 		 1.006686e+11 		 1.596713e+03
1.0000e-07 		 1.053828e+11 		 1.758349e+03
1.0000e-07 		 1.103178e+11 		 1.929799e+03
1.0000e-07 		 1.154839e+11 		 2.111433e+03
1.0000e-07 		 1.208919e+11 		 2.303912e+03
1.0000e-07 		 1.265531e+11 		 2.507783e+03
1.0000e-07 		 1.324794e+11 		 2.723486e+03
1.0000e-07 		 1.386833e+11 		 2.951480e+03
1.0000e-07 		 1.451777e+11 		 3.192237e+03
1.0000e-07 		 1.519762e+11 		 3.446254e+03
1.0000e-07 		 1.590931e+11 		 3.714046e+03
1.0000e-07 		 1.665433e+11 		 3.996156e+03
1.0000e-07 		 1.743423e+11 		 4.293153e+03
1.0000e-07 		 1.825066e+11 		 4.605637e+03
1.0000e-07 		 1.910532e+11 		 4.934180e+03
1.0000e-07 		 2.000000e+11 		 5.279424e+03
